"threshold_sd","threshold_days","moving_average_days","majorLossThresh","bic"
2,5,10,1,-185.733344159683
2.1,5,10,1,-308.034969822121
2.2,5,10,1,-384.125009963343
2.3,5,10,1,-425.298040805773
2.4,5,10,1,-424.999883032891
2.5,5,10,1,-916.290188281413
2.6,5,10,1,-921.802344645023
2.7,5,10,1,Inf
2.8,5,10,1,Inf
2.9,5,10,1,Inf
3,5,10,1,Inf
3.1,5,10,1,Inf
3.2,5,10,1,Inf
3.3,5,10,1,Inf
3.4,5,10,1,Inf
3.5,5,10,1,Inf
3.6,5,10,1,Inf
3.7,5,10,1,Inf
3.8,5,10,1,Inf
3.9,5,10,1,Inf
4,5,10,1,Inf
2,6,10,1,-184.264233043655
2.1,6,10,1,-296.876121590774
2.2,6,10,1,-380.351055202535
2.3,6,10,1,-427.628526127254
2.4,6,10,1,-423.581773441236
2.5,6,10,1,-911.639907107642
2.6,6,10,1,-917.055195702637
2.7,6,10,1,Inf
2.8,6,10,1,Inf
2.9,6,10,1,Inf
3,6,10,1,Inf
3.1,6,10,1,Inf
3.2,6,10,1,Inf
3.3,6,10,1,Inf
3.4,6,10,1,Inf
3.5,6,10,1,Inf
3.6,6,10,1,Inf
3.7,6,10,1,Inf
3.8,6,10,1,Inf
3.9,6,10,1,Inf
4,6,10,1,Inf
2,7,10,1,-181.72473464127
2.1,7,10,1,-307.537189958933
2.2,7,10,1,-390.95303688919
2.3,7,10,1,-430.543434040002
2.4,7,10,1,-426.84348373413
2.5,7,10,1,-906.757559177197
2.6,7,10,1,-910.07932599921
2.7,7,10,1,Inf
2.8,7,10,1,Inf
2.9,7,10,1,Inf
3,7,10,1,Inf
3.1,7,10,1,Inf
3.2,7,10,1,Inf
3.3,7,10,1,Inf
3.4,7,10,1,Inf
3.5,7,10,1,Inf
3.6,7,10,1,Inf
3.7,7,10,1,Inf
3.8,7,10,1,Inf
3.9,7,10,1,Inf
4,7,10,1,Inf
2,8,10,1,-178.59374120799
2.1,8,10,1,-301.982829743349
2.2,8,10,1,-388.929080855792
2.3,8,10,1,-428.996387822627
2.4,8,10,1,-429.076121946527
2.5,8,10,1,-901.812146207007
2.6,8,10,1,-905.128083489841
2.7,8,10,1,Inf
2.8,8,10,1,Inf
2.9,8,10,1,Inf
3,8,10,1,Inf
3.1,8,10,1,Inf
3.2,8,10,1,Inf
3.3,8,10,1,Inf
3.4,8,10,1,Inf
3.5,8,10,1,Inf
3.6,8,10,1,Inf
3.7,8,10,1,Inf
3.8,8,10,1,Inf
3.9,8,10,1,Inf
4,8,10,1,Inf
2,9,10,1,-177.818724572773
2.1,9,10,1,-300.760585368479
2.2,9,10,1,-378.880629952324
2.3,9,10,1,-427.524674232507
2.4,9,10,1,-427.591041826677
2.5,9,10,1,-897.159238837697
2.6,9,10,1,-900.780465928295
2.7,9,10,1,Inf
2.8,9,10,1,Inf
2.9,9,10,1,Inf
3,9,10,1,Inf
3.1,9,10,1,Inf
3.2,9,10,1,Inf
3.3,9,10,1,Inf
3.4,9,10,1,Inf
3.5,9,10,1,Inf
3.6,9,10,1,Inf
3.7,9,10,1,Inf
3.8,9,10,1,Inf
3.9,9,10,1,Inf
4,9,10,1,Inf
2,3,11,1,-110.699547743951
2.1,3,11,1,-214.774504891246
2.2,3,11,1,-306.98707634156
2.3,3,11,1,-394.664024641806
2.4,3,11,1,-505.632460716777
2.5,3,11,1,-575.410633855443
2.6,3,11,1,-922.288281408278
2.7,3,11,1,-1191.52521042654
2.8,3,11,1,-1193.11489918502
2.9,3,11,1,Inf
3,3,11,1,Inf
3.1,3,11,1,Inf
3.2,3,11,1,Inf
3.3,3,11,1,Inf
3.4,3,11,1,Inf
3.5,3,11,1,Inf
3.6,3,11,1,Inf
3.7,3,11,1,Inf
3.8,3,11,1,Inf
3.9,3,11,1,Inf
4,3,11,1,Inf
2,4,11,1,-110.737340733415
2.1,4,11,1,-213.228573647567
2.2,4,11,1,-311.146429364105
2.3,4,11,1,-393.554642992226
2.4,4,11,1,-501.499769548484
2.5,4,11,1,-572.908681580925
2.6,4,11,1,-922.653074815293
2.7,4,11,1,-1185.97736399524
2.8,4,11,1,-1187.37469373907
2.9,4,11,1,Inf
3,4,11,1,Inf
3.1,4,11,1,Inf
3.2,4,11,1,Inf
3.3,4,11,1,Inf
3.4,4,11,1,Inf
3.5,4,11,1,Inf
3.6,4,11,1,Inf
3.7,4,11,1,Inf
3.8,4,11,1,Inf
3.9,4,11,1,Inf
4,4,11,1,Inf
2,5,11,1,-112.834528010468
2.1,5,11,1,-211.685256474525
2.2,5,11,1,-309.340499864116
2.3,5,11,1,-389.83921721739
2.4,5,11,1,-498.114919491163
2.5,5,11,1,-570.409340654664
2.6,5,11,1,-919.237370741066
2.7,5,11,1,-1180.8884426917
2.8,5,11,1,-1182.11071033009
2.9,5,11,1,Inf
3,5,11,1,Inf
3.1,5,11,1,Inf
3.2,5,11,1,Inf
3.3,5,11,1,Inf
3.4,5,11,1,Inf
3.5,5,11,1,Inf
3.6,5,11,1,Inf
3.7,5,11,1,Inf
3.8,5,11,1,Inf
3.9,5,11,1,Inf
4,5,11,1,Inf
2,6,11,1,-111.56253783298
2.1,6,11,1,-210.144560232008
2.2,6,11,1,-307.537189958933
2.3,6,11,1,-377.092024887605
2.4,6,11,1,-499.098031792301
2.5,6,11,1,-567.912617914672
2.6,6,11,1,-915.824284471249
2.7,6,11,1,-1176.07450247424
2.8,6,11,1,-1177.10276179067
2.9,6,11,1,Inf
3,6,11,1,Inf
3.1,6,11,1,Inf
3.2,6,11,1,Inf
3.3,6,11,1,Inf
3.4,6,11,1,Inf
3.5,6,11,1,Inf
3.6,6,11,1,Inf
3.7,6,11,1,Inf
3.8,6,11,1,Inf
3.9,6,11,1,Inf
4,6,11,1,Inf
2,7,11,1,-108.921816800162
2.1,7,11,1,-212.261690674811
2.2,7,11,1,-302.599011578096
2.3,7,11,1,-388.929080855792
2.4,7,11,1,-496.786294369784
2.5,7,11,1,-559.28872084894
2.6,7,11,1,-910.518464123515
2.7,7,11,1,-1181.88378234366
2.8,7,11,1,-1185.37533891699
2.9,7,11,1,Inf
3,7,11,1,Inf
3.1,7,11,1,Inf
3.2,7,11,1,Inf
3.3,7,11,1,Inf
3.4,7,11,1,Inf
3.5,7,11,1,Inf
3.6,7,11,1,Inf
3.7,7,11,1,Inf
3.8,7,11,1,Inf
3.9,7,11,1,Inf
4,7,11,1,Inf
2,8,11,1,-106.06087496629
2.1,8,11,1,-205.692431695552
2.2,8,11,1,-303.938456510168
2.3,8,11,1,-386.907757530021
2.4,8,11,1,-494.477189123717
2.5,8,11,1,-559.580038344089
2.6,8,11,1,-906.416584700641
2.7,8,11,1,-1175.10905775746
2.8,8,11,1,-1177.92840760567
2.9,8,11,1,Inf
3,8,11,1,Inf
3.1,8,11,1,Inf
3.2,8,11,1,Inf
3.3,8,11,1,Inf
3.4,8,11,1,Inf
3.5,8,11,1,Inf
3.6,8,11,1,Inf
3.7,8,11,1,Inf
3.8,8,11,1,Inf
3.9,8,11,1,Inf
4,8,11,1,Inf
2,9,11,1,-105.383205054751
2.1,9,11,1,-208.206109384256
2.2,9,11,1,-299.739998395104
2.3,9,11,1,-384.889073864402
2.4,9,11,1,-488.355036717357
2.5,9,11,1,-556.512956126056
2.6,9,11,1,-902.475172722566
2.7,9,11,1,-1169.49430252116
2.8,9,11,1,-1171.69692258882
2.9,9,11,1,Inf
3,9,11,1,Inf
3.1,9,11,1,Inf
3.2,9,11,1,Inf
3.3,9,11,1,Inf
3.4,9,11,1,Inf
3.5,9,11,1,Inf
3.6,9,11,1,Inf
3.7,9,11,1,Inf
3.8,9,11,1,Inf
3.9,9,11,1,Inf
4,9,11,1,Inf
2,10,11,1,-95.9861086345905
2.1,10,11,1,-204.76079053875
2.2,10,11,1,-293.595136681157
2.3,10,11,1,-382.873036848297
