"threshold_sd","threshold_days","moving_average_days","bic"
2.4,8,35,-377.220368425149
2.5,8,35,-378.295664068612
2.6,8,35,-378.295664068612
2.7,8,35,-429.323304614786
2.8,8,35,-546.0358202732
2.9,8,35,-546.312356295233
3,8,35,-549.910581763758
3.1,8,35,-550.923656153191
3.2,8,35,-639.951784965943
3.3,8,35,-634.137757570412
3.4,8,35,-738.348809631131
3.5,8,35,-739.68447237961
3.6,8,35,-899.972208500499
3.7,8,35,-1155.71361986659
3.8,8,35,-1155.71361986659
3.9,8,35,Inf
4,8,35,Inf
2,9,35,-190.069825586098
2.1,9,35,-226.873998330541
2.2,9,35,-287.260654788169
2.3,9,35,-331.281500707864
2.4,9,35,-374.336681831086
2.5,9,35,-375.311286879262
2.6,9,35,-375.311286879262
2.7,9,35,-426.033165577898
2.8,9,35,-550.214874763428
2.9,9,35,-550.214874763428
3,9,35,-550.214874763428
3.1,9,35,-538.351272782599
3.2,9,35,-635.875092507947
3.3,9,35,-630.687061160563
3.4,9,35,-734.309149892984
3.5,9,35,-735.486953386585
3.6,9,35,-895.204415362943
3.7,9,35,-1151.62589480763
3.8,9,35,-1151.62589480763
3.9,9,35,Inf
4,9,35,Inf
2,10,35,-187.885632605959
2.1,10,35,-220.952160776501
2.2,10,35,-285.553794322921
2.3,10,35,-328.983500969264
2.4,10,35,-371.702423352592
2.5,10,35,-368.708244157723
2.6,10,35,-372.609990679995
2.7,10,35,-423.06994919585
2.8,10,35,-546.975913762219
2.9,10,35,-546.975913762219
3,10,35,-546.975913762219
3.1,10,35,-546.975913762219
3.2,10,35,-632.197481837404
3.3,10,35,-627.601701829014
3.4,10,35,-730.487734148615
3.5,10,35,-731.539432352561
3.6,10,35,-890.718670497065
3.7,10,35,-1147.54084349191
3.8,10,35,-1147.54084349191
3.9,10,35,Inf
4,10,35,Inf
2,11,35,-192.847136473227
2.1,11,35,-220.077523338197
2.2,11,35,-284.024282504274
2.3,11,35,-323.065708342728
2.4,11,35,-365.039781871372
2.5,11,35,-370.016687095464
2.6,11,35,-370.016687095464
2.7,11,35,-420.228825544972
2.8,11,35,-535.690084790924
2.9,11,35,-535.690084790924
3,11,35,-535.690084790924
3.1,11,35,-531.103431550071
3.2,11,35,-628.667700973063
3.3,11,35,-624.678428780033
3.4,11,35,-730.92908198334
3.5,11,35,-727.773880065831
3.6,11,35,-886.437912386226
3.7,11,35,-1143.45847308736
3.8,11,35,-1143.45847308736
3.9,11,35,Inf
4,11,35,Inf
2,12,35,-187.254437252547
2.1,12,35,-213.869115412149
2.2,12,35,-282.930313495595
2.3,12,35,-318.268140733818
2.4,12,35,-365.623563115986
2.5,12,35,-362.651833705468
2.6,12,35,-362.651833705468
2.7,12,35,-417.487354203938
2.8,12,35,-532.687331034808
2.9,12,35,-532.687331034808
3,12,35,-540.830616264643
3.1,12,35,-528.167304721249
3.2,12,35,-625.256105915977
3.3,12,35,-621.771663550949
3.4,12,35,-731.607193668033
3.5,12,35,-724.145171908896
3.6,12,35,-882.311046253887
3.7,12,35,-1139.37879080043
3.8,12,35,-1139.37879080043
3.9,12,35,Inf
4,12,35,Inf
2,13,35,-183.960175814495
2.1,13,35,-214.860606715454
2.2,13,35,-286.028953956615
2.3,13,35,-320.794214353478
2.4,13,35,-359.703619550355
2.5,13,35,-360.566309304334
2.6,13,35,-360.566309304334
2.7,13,35,-414.828536063327
2.8,13,35,-533.713442575351
2.9,13,35,-533.713442575351
3,13,35,-537.883444245413
3.1,13,35,-533.713442575351
3.2,13,35,-621.940643663215
3.3,13,35,-618.880204710414
3.4,13,35,-728.628848198785
3.5,13,35,-720.622201769936
3.6,13,35,-878.302857377636
3.7,13,35,-1135.30180387643
3.8,13,35,-1135.30180387643
3.9,13,35,Inf
4,13,35,Inf
2,14,35,-187.454774254686
2.1,14,35,-206.2664955862
2.2,14,35,-282.485372649995
2.3,14,35,-324.166813912536
2.4,14,35,-364.262399718803
2.5,14,35,-365.465923913917
2.6,14,35,-365.465923913917
2.7,14,35,-412.239276372416
2.8,14,35,-526.736027063173
2.9,14,35,-526.736027063173
3,14,35,-526.694198520013
3.1,14,35,-531.173435835716
3.2,14,35,-618.704572365448
3.3,14,35,-616.052036835826
3.4,14,35,-725.653205535093
3.5,14,35,-725.653205535093
3.6,14,35,-874.38828735603
3.7,14,35,-1131.22751959984
3.8,14,35,-1131.22751959984
3.9,14,35,Inf
4,14,35,Inf
