"threshold_sd","threshold_days","moving_average_days","majorLossThresh","aic"
2,5,10,1,-193.639830828259
2.1,5,10,1,-319.894699824984
2.2,5,10,1,-403.891226634782
2.3,5,10,1,-452.970744145788
2.4,5,10,1,-452.672586372905
2.5,5,10,1,-940.00964828714
2.6,5,10,1,-937.615317982174
2.7,5,10,1,Inf
2.8,5,10,1,Inf
2.9,5,10,1,Inf
3,5,10,1,Inf
3.1,5,10,1,Inf
3.2,5,10,1,Inf
3.3,5,10,1,Inf
3.4,5,10,1,Inf
3.5,5,10,1,Inf
3.6,5,10,1,Inf
3.7,5,10,1,Inf
3.8,5,10,1,Inf
3.9,5,10,1,Inf
4,5,10,1,Inf
2,6,10,1,-192.165518148831
2.1,6,10,1,-316.629334353713
2.2,6,10,1,-404.054910518062
2.3,6,10,1,-451.33238144278
2.4,6,10,1,-451.23627130935
2.5,6,10,1,-935.343762423169
2.6,6,10,1,-932.857765912988
2.7,6,10,1,Inf
2.8,6,10,1,Inf
2.9,6,10,1,Inf
3,6,10,1,Inf
3.1,6,10,1,Inf
3.2,6,10,1,Inf
3.3,6,10,1,Inf
3.4,6,10,1,Inf
3.5,6,10,1,Inf
3.6,6,10,1,Inf
3.7,6,10,1,Inf
3.8,6,10,1,Inf
3.9,6,10,1,Inf
4,6,10,1,Inf
2,7,10,1,-193.568839608812
2.1,7,10,1,-315.433259937295
2.2,7,10,1,-398.849106867551
2.3,7,10,1,-450.283608985906
2.4,7,10,1,-450.531693669214
2.5,7,10,1,-934.393804101462
2.6,7,10,1,-929.819500945113
2.7,7,10,1,Inf
2.8,7,10,1,Inf
2.9,7,10,1,Inf
3,7,10,1,Inf
3.1,7,10,1,Inf
3.2,7,10,1,Inf
3.3,7,10,1,Inf
3.4,7,10,1,Inf
3.5,7,10,1,Inf
3.6,7,10,1,Inf
3.7,7,10,1,Inf
3.8,7,10,1,Inf
3.9,7,10,1,Inf
4,7,10,1,Inf
2,8,10,1,-190.43000303381
2.1,8,10,1,-313.819091569168
2.2,8,10,1,-396.819922073005
2.3,8,10,1,-448.72349086566
2.4,8,10,1,-448.80322498956
2.5,8,10,1,-929.430090467254
2.6,8,10,1,-924.855186532874
2.7,8,10,1,Inf
2.8,8,10,1,Inf
2.9,8,10,1,Inf
3,8,10,1,Inf
3.1,8,10,1,Inf
3.2,8,10,1,Inf
3.3,8,10,1,Inf
3.4,8,10,1,Inf
3.5,8,10,1,Inf
3.6,8,10,1,Inf
3.7,8,10,1,Inf
3.8,8,10,1,Inf
3.9,8,10,1,Inf
4,8,10,1,Inf
2,9,10,1,-189.647122698153
2.1,9,10,1,-312.588983493859
2.2,9,10,1,-394.651827452831
2.3,9,10,1,-447.23867110814
2.4,9,10,1,-447.305038702311
2.5,9,10,1,-924.758834463584
2.6,9,10,1,-920.494462803929
2.7,9,10,1,Inf
2.8,9,10,1,Inf
2.9,9,10,1,Inf
3,9,10,1,Inf
3.1,9,10,1,Inf
3.2,9,10,1,Inf
3.3,9,10,1,Inf
3.4,9,10,1,Inf
3.5,9,10,1,Inf
3.6,9,10,1,Inf
3.7,9,10,1,Inf
3.8,9,10,1,Inf
3.9,9,10,1,Inf
4,9,10,1,Inf
2,3,11,1,-126.52289722181
2.1,3,11,1,-222.686179630176
2.2,3,11,1,-322.810425819419
2.3,3,11,1,-410.487374119665
2.4,3,11,1,-517.499972825171
2.5,3,11,1,-583.322308594373
2.6,3,11,1,-934.155793516672
2.7,3,11,1,-1207.34855990439
2.8,3,11,1,-1208.93824866288
2.9,3,11,1,Inf
3,3,11,1,Inf
3.1,3,11,1,Inf
3.2,3,11,1,Inf
3.3,3,11,1,Inf
3.4,3,11,1,Inf
3.5,3,11,1,Inf
3.6,3,11,1,Inf
3.7,3,11,1,Inf
3.8,3,11,1,Inf
3.9,3,11,1,Inf
4,3,11,1,Inf
2,4,11,1,-122.597070736279
2.1,4,11,1,-221.135060316143
2.2,4,11,1,-319.05291603268
2.3,4,11,1,-405.414372995089
2.4,4,11,1,-513.359499551347
2.5,4,11,1,-580.815168249501
2.6,4,11,1,-930.559561483868
2.7,4,11,1,-1201.79033733239
2.8,4,11,1,-1203.18766707622
2.9,4,11,1,Inf
3,4,11,1,Inf
3.1,4,11,1,Inf
3.2,4,11,1,Inf
3.3,4,11,1,Inf
3.4,4,11,1,Inf
3.5,4,11,1,Inf
3.6,4,11,1,Inf
3.7,4,11,1,Inf
3.8,4,11,1,Inf
3.9,4,11,1,Inf
4,4,11,1,Inf
2,5,11,1,-120.735813115644
2.1,5,11,1,-219.5865415797
2.2,5,11,1,-317.241784969292
2.3,5,11,1,-401.691144875153
2.4,5,11,1,-509.966847148926
2.5,5,11,1,-578.310625759839
2.6,5,11,1,-927.138655846242
2.7,5,11,1,-1196.69101290205
2.8,5,11,1,-1197.91328054044
2.9,5,11,1,Inf
3,5,11,1,Inf
3.1,5,11,1,Inf
3.2,5,11,1,Inf
3.3,5,11,1,Inf
3.4,5,11,1,Inf
3.5,5,11,1,Inf
3.6,5,11,1,Inf
3.7,5,11,1,Inf
3.8,5,11,1,Inf
3.9,5,11,1,Inf
4,5,11,1,Inf
2,6,11,1,-119.458607811341
2.1,6,11,1,-218.04063021037
2.2,6,11,1,-315.433259937295
2.3,6,11,1,-400.780234822689
2.4,6,11,1,-506.994101770662
2.5,6,11,1,-575.808687893033
2.6,6,11,1,-923.72035444961
2.7,6,11,1,-1191.86664243096
2.8,6,11,1,-1192.89490174739
2.9,6,11,1,Inf
3,6,11,1,Inf
3.1,6,11,1,Inf
3.2,6,11,1,Inf
3.3,6,11,1,Inf
3.4,6,11,1,Inf
3.5,6,11,1,Inf
3.6,6,11,1,Inf
3.7,6,11,1,Inf
3.8,6,11,1,Inf
3.9,6,11,1,Inf
4,6,11,1,Inf
2,7,11,1,-120.758078625981
2.1,7,11,1,-224.097952500631
2.2,7,11,1,-314.435273403916
2.3,7,11,1,-396.819922073005
2.4,7,11,1,-504.677135586997
2.5,7,11,1,-575.070403283367
2.6,7,11,1,-922.354725949335
2.7,7,11,1,-1201.61088538669
2.8,7,11,1,-1205.10244196002
2.9,7,11,1,Inf
3,7,11,1,Inf
3.1,7,11,1,Inf
3.2,7,11,1,Inf
3.3,7,11,1,Inf
3.4,7,11,1,Inf
3.5,7,11,1,Inf
3.6,7,11,1,Inf
3.7,7,11,1,Inf
3.8,7,11,1,Inf
3.9,7,11,1,Inf
4,7,11,1,Inf
2,8,11,1,-117.88927309167
2.1,8,11,1,-221.463629196059
2.2,8,11,1,-311.824055260421
2.3,8,11,1,-394.793356280274
2.4,8,11,1,-502.36278787397
2.5,8,11,1,-571.408436469469
2.6,8,11,1,-918.244982826022
2.7,8,11,1,-1194.82305463309
2.8,8,11,1,-1197.6424044813
2.9,8,11,1,Inf
3,8,11,1,Inf
3.1,8,11,1,Inf
3.2,8,11,1,Inf
3.3,8,11,1,Inf
3.4,8,11,1,Inf
3.5,8,11,1,Inf
3.6,8,11,1,Inf
3.7,8,11,1,Inf
3.8,8,11,1,Inf
3.9,8,11,1,Inf
4,8,11,1,Inf
2,9,11,1,-117.203718812913
2.1,9,11,1,-220.026623142417
2.2,9,11,1,-311.560512153266
2.3,9,11,1,-392.769416369843
2.4,9,11,1,-500.175550475518
2.5,9,11,1,-568.333469884217
2.6,9,11,1,-914.295686480727
2.7,9,11,1,-1189.19515878476
2.8,9,11,1,-1191.39777885242
2.9,9,11,1,Inf
3,9,11,1,Inf
3.1,9,11,1,Inf
3.2,9,11,1,Inf
3.3,9,11,1,Inf
3.4,9,11,1,Inf
3.5,9,11,1,Inf
3.6,9,11,1,Inf
3.7,9,11,1,Inf
3.8,9,11,1,Inf
3.9,9,11,1,Inf
4,9,11,1,Inf
2,10,11,1,-115.673789660003
2.1,10,11,1,-216.573399153997
2.2,10,11,1,-309.345281501487
2.3,10,11,1,-390.748109258461
2.4,10,11,1,-498.227640681107
2.5,10,11,1,-565.455884911841
2.6,10,11,1,-909.703027359463
2.7,10,11,1,-1183.94655562644
2.8,10,11,1,-1185.62501181113
2.9,10,11,1,Inf
3,10,11,1,Inf
3.1,10,11,1,Inf
3.2,10,11,1,Inf
3.3,10,11,1,Inf
3.4,10,11,1,Inf
3.5,10,11,1,Inf
3.6,10,11,1,Inf
3.7,10,11,1,Inf
3.8,10,11,1,Inf
3.9,10,11,1,Inf
4,10,11,1,Inf
2,3,12,1,-101.307201628183
2.1,3,12,1,-168.750944688053
2.2,3,12,1,-283.386534802028
2.3,3,12,1,-360.64290250049
2.4,3,12,1,-515.156713465305
2.5,3,12,1,-590.212037501927
2.6,3,12,1,-776.65845203714
2.7,3,12,1,-930.559561483868
2.8,3,12,1,Inf
2.9,3,12,1,Inf
3,3,12,1,Inf
3.1,3,12,1,Inf
3.2,3,12,1,Inf
3.3,3,12,1,Inf
3.4,3,12,1,Inf
3.5,3,12,1,Inf
3.6,3,12,1,Inf
3.7,3,12,1,Inf
3.8,3,12,1,Inf
3.9,3,12,1,Inf
4,3,12,1,Inf
2,4,12,1,-100.147792439322
2.1,4,12,1,-166.711498351375
2.2,4,12,1,-281.670788988386
2.3,4,12,1,-357.00920890977
2.4,4,12,1,-511.023641270667
2.5,4,12,1,-584.366423490088
2.6,4,12,1,-774.527698997423
2.7,4,12,1,-926.622005187963
2.8,4,12,1,Inf
2.9,4,12,1,Inf
3,4,12,1,Inf
3.1,4,12,1,Inf
3.2,4,12,1,Inf
3.3,4,12,1,Inf
3.4,4,12,1,Inf
3.5,4,12,1,Inf
3.6,4,12,1,Inf
3.7,4,12,1,Inf
3.8,4,12,1,Inf
3.9,4,12,1,Inf
4,4,12,1,Inf
2,5,12,1,-98.9925696657968
2.1,5,12,1,-165.308892936749
2.2,5,12,1,-279.957649609205
2.3,5,12,1,-354.760901748058
2.4,5,12,1,-507.636508243679
2.5,5,12,1,-579.881010621897
2.6,5,12,1,-772.188457883713
2.7,5,12,1,-923.56585333726
2.8,5,12,1,Inf
2.9,5,12,1,Inf
3,5,12,1,Inf
3.1,5,12,1,Inf
3.2,5,12,1,Inf
3.3,5,12,1,Inf
3.4,5,12,1,Inf
3.5,5,12,1,Inf
3.6,5,12,1,Inf
3.7,5,12,1,Inf
3.8,5,12,1,Inf
3.9,5,12,1,Inf
4,5,12,1,Inf
2,6,12,1,-97.8415848282065
2.1,6,12,1,-163.908902829163
2.2,6,12,1,-278.247123482036
2.3,6,12,1,-354.485241995278
2.4,6,12,1,-504.325267543294
2.5,6,12,1,-576.071312123625
2.6,6,12,1,-769.775339343409
2.7,6,12,1,-920.464767782892
2.8,6,12,1,Inf
2.9,6,12,1,Inf
3,6,12,1,Inf
3.1,6,12,1,Inf
3.2,6,12,1,Inf
3.3,6,12,1,Inf
3.4,6,12,1,Inf
3.5,6,12,1,Inf
3.6,6,12,1,Inf
3.7,6,12,1,Inf
3.8,6,12,1,Inf
3.9,6,12,1,Inf
4,6,12,1,Inf
2,7,12,1,-96.6958477044592
2.1,7,12,1,-164.92554624668
2.2,7,12,1,-276.800474316233
2.3,7,12,1,-353.220165295214
2.4,7,12,1,-502.364637033682
2.5,7,12,1,-572.646875228097
2.6,7,12,1,-767.038587835582
2.7,7,12,1,-917.240656936774
2.8,7,12,1,Inf
2.9,7,12,1,Inf
3,7,12,1,Inf
3.1,7,12,1,Inf
3.2,7,12,1,Inf
3.3,7,12,1,Inf
3.4,7,12,1,Inf
3.5,7,12,1,Inf
3.6,7,12,1,Inf
3.7,7,12,1,Inf
3.8,7,12,1,Inf
3.9,7,12,1,Inf
4,7,12,1,Inf
2,8,12,1,-96.4164594810089
2.1,8,12,1,-162.878227843005
2.2,8,12,1,-274.833938433195
2.3,8,12,1,-349.606937276361
2.4,8,12,1,-500.355177044686
2.5,8,12,1,-569.463415773729
2.6,8,12,1,-764.39865774462
2.7,8,12,1,-914.138497370323
2.8,8,12,1,Inf
2.9,8,12,1,Inf
3,8,12,1,Inf
3.1,8,12,1,Inf
3.2,8,12,1,Inf
3.3,8,12,1,Inf
3.4,8,12,1,Inf
3.5,8,12,1,Inf
3.6,8,12,1,Inf
3.7,8,12,1,Inf
3.8,8,12,1,Inf
3.9,8,12,1,Inf
4,8,12,1,Inf
2,9,12,1,-94.5643792165256
2.1,9,12,1,-161.733046298225
2.2,9,12,1,-273.012711838783
2.3,9,12,1,-347.131281336006
2.4,9,12,1,-498.373743384318
2.5,9,12,1,-566.685189483416
2.6,9,12,1,-761.790706768829
2.7,9,12,1,-911.054946179755
2.8,9,12,1,Inf
2.9,9,12,1,Inf
3,9,12,1,Inf
3.1,9,12,1,Inf
3.2,9,12,1,Inf
3.3,9,12,1,Inf
3.4,9,12,1,Inf
3.5,9,12,1,Inf
3.6,9,12,1,Inf
3.7,9,12,1,Inf
3.8,9,12,1,Inf
3.9,9,12,1,Inf
4,9,12,1,Inf
2,10,12,1,-94.3016040456428
2.1,10,12,1,-159.123418746345
2.2,10,12,1,-271.431289103264
2.3,10,12,1,-345.230459105266
2.4,10,12,1,-496.42368235591
2.5,10,12,1,-564.14194543216
2.6,10,12,1,-759.218305706611
2.7,10,12,1,-908.024632616772
2.8,10,12,1,Inf
2.9,10,12,1,Inf
3,10,12,1,Inf
3.1,10,12,1,Inf
3.2,10,12,1,Inf
3.3,10,12,1,Inf
3.4,10,12,1,Inf
3.5,10,12,1,Inf
3.6,10,12,1,Inf
3.7,10,12,1,Inf
3.8,10,12,1,Inf
3.9,10,12,1,Inf
4,10,12,1,Inf
2,11,12,1,-92.4705319497059
2.1,11,12,1,-156.647403846178
2.2,11,12,1,-269.733932762176
2.3,11,12,1,-343.650234008133
2.4,11,12,1,-494.508952664042
2.5,11,12,1,-561.82682027364
2.6,11,12,1,-751.956480499774
2.7,11,12,1,-903.265618437533
2.8,11,12,1,Inf
2.9,11,12,1,Inf
3,11,12,1,Inf
3.1,11,12,1,Inf
3.2,11,12,1,Inf
3.3,11,12,1,Inf
3.4,11,12,1,Inf
3.5,11,12,1,Inf
3.6,11,12,1,Inf
3.7,11,12,1,Inf
3.8,11,12,1,Inf
3.9,11,12,1,Inf
4,11,12,1,Inf
2,3,13,1,-100.64249640692
2.1,3,13,1,-167.199618220964
2.2,3,13,1,-281.670788988386
2.3,3,13,1,-400.880903819409
2.4,3,13,1,-452.634094132174
2.5,3,13,1,-662.985891171502
2.6,3,13,1,-773.190746256248
2.7,3,13,1,-926.414357409807
2.8,3,13,1,-927.138655846242
2.9,3,13,1,-1192.30325104082
3,3,13,1,Inf
3.1,3,13,1,Inf
3.2,3,13,1,Inf
3.3,3,13,1,Inf
3.4,3,13,1,Inf
3.5,3,13,1,Inf
3.6,3,13,1,Inf
3.7,3,13,1,Inf
3.8,3,13,1,Inf
3.9,3,13,1,Inf
4,3,13,1,Inf
2,4,13,1,-98.9925696657967
2.1,4,13,1,-165.859192110629
2.2,4,13,1,-279.957649609205
2.3,4,13,1,-398.849106867551
2.4,4,13,1,-449.155144413581
2.5,4,13,1,-662.101798991289
2.6,4,13,1,-769.433788925784
2.7,4,13,1,-923.543477960498
2.8,4,13,1,-923.72035444961
2.9,4,13,1,-1188.19179218128
3,4,13,1,Inf
3.1,4,13,1,Inf
3.2,4,13,1,Inf
3.3,4,13,1,Inf
3.4,4,13,1,Inf
3.5,4,13,1,Inf
3.6,4,13,1,Inf
3.7,4,13,1,Inf
3.8,4,13,1,Inf
3.9,4,13,1,Inf
4,4,13,1,Inf
2,5,13,1,-97.8415848282065
2.1,5,13,1,-164.52285714759
2.2,5,13,1,-278.247123482036
2.3,5,13,1,-397.05991704983
2.4,5,13,1,-446.808886747227
2.5,5,13,1,-658.41326783751
2.6,5,13,1,-766.423580994349
2.7,5,13,1,-920.592336555808
2.8,5,13,1,-920.30466409395
2.9,5,13,1,-1184.08294430865
3,5,13,1,Inf
3.1,5,13,1,Inf
3.2,5,13,1,Inf
3.3,5,13,1,Inf
3.4,5,13,1,Inf
3.5,5,13,1,Inf
3.6,5,13,1,Inf
3.7,5,13,1,Inf
3.8,5,13,1,Inf
3.9,5,13,1,Inf
4,5,13,1,Inf
2,6,13,1,-96.6948911843023
2.1,6,13,1,-163.190662335918
2.2,6,13,1,-276.657816089482
2.3,6,13,1,-393.841264469547
2.4,6,13,1,-444.648735939575
2.5,6,13,1,-654.989335186633
2.6,6,13,1,-763.415991030973
2.7,6,13,1,-917.667339090636
2.8,6,13,1,-916.891591614842
2.9,6,13,1,-1179.9767142581
3,6,13,1,Inf
3.1,6,13,1,Inf
3.2,6,13,1,Inf
3.3,6,13,1,Inf
3.4,6,13,1,Inf
3.5,6,13,1,Inf
3.6,6,13,1,Inf
3.7,6,13,1,Inf
3.8,6,13,1,Inf
3.9,6,13,1,Inf
4,6,13,1,Inf
2,7,13,1,-101.570312120703
2.1,7,13,1,-162.596759291178
2.2,7,13,1,-275.545309201324
2.3,7,13,1,-393.913437945424
2.4,7,13,1,-444.933967386449
2.5,7,13,1,-652.201563266537
2.6,7,13,1,-760.411025907851
2.7,7,13,1,-914.623980032329
2.8,7,13,1,-913.481143883754
2.9,7,13,1,-1175.87310890065
3,7,13,1,Inf
3.1,7,13,1,Inf
3.2,7,13,1,Inf
3.3,7,13,1,Inf
3.4,7,13,1,Inf
3.5,7,13,1,Inf
3.6,7,13,1,Inf
3.7,7,13,1,Inf
3.8,7,13,1,Inf
3.9,7,13,1,Inf
4,7,13,1,Inf
2,8,13,1,-94.8545723550741
2.1,8,13,1,-160.538897527492
2.2,8,13,1,-274.508862532386
2.3,8,13,1,-391.034682345517
2.4,8,13,1,-441.744165581047
2.5,8,13,1,-649.386508576113
2.6,8,13,1,-757.408692533354
2.7,8,13,1,-911.409520464953
2.8,8,13,1,-910.27918656098
2.9,8,13,1,-1171.77213514351
3,8,13,1,Inf
3.1,8,13,1,Inf
3.2,8,13,1,Inf
3.3,8,13,1,Inf
3.4,8,13,1,Inf
3.5,8,13,1,Inf
3.6,8,13,1,Inf
3.7,8,13,1,Inf
3.8,8,13,1,Inf
3.9,8,13,1,Inf
4,8,13,1,Inf
2,9,13,1,-94.3348201219464
2.1,9,13,1,-159.219434123729
2.2,9,13,1,-271.674472373885
2.3,9,13,1,-388.508160702219
2.4,9,13,1,-438.78227730875
2.5,9,13,1,-646.674520859664
2.6,9,13,1,-754.408997852315
2.7,9,13,1,-908.137246328111
2.8,9,13,1,-907.162893737201
2.9,9,13,1,-1167.67379993033
3,9,13,1,Inf
3.1,9,13,1,Inf
3.2,9,13,1,Inf
3.3,9,13,1,Inf
3.4,9,13,1,Inf
3.5,9,13,1,Inf
3.6,9,13,1,Inf
3.7,9,13,1,Inf
3.8,9,13,1,Inf
3.9,9,13,1,Inf
4,9,13,1,Inf
2,10,13,1,-92.4379902411463
2.1,10,13,1,-157.904324228575
2.2,10,13,1,-269.733932762176
2.3,10,13,1,-387.465405656443
2.4,10,13,1,-436.034457979996
2.5,10,13,1,-643.96517895156
2.6,10,13,1,-751.411948846321
2.7,10,13,1,-905.151039409939
2.8,10,13,1,-904.093694098234
2.9,10,13,1,-1163.57811024149
3,10,13,1,Inf
3.1,10,13,1,Inf
3.2,10,13,1,Inf
3.3,10,13,1,Inf
3.4,10,13,1,Inf
3.5,10,13,1,Inf
3.6,10,13,1,Inf
3.7,10,13,1,Inf
3.8,10,13,1,Inf
